loan_status,term,home_ownership,emp_length,verification_status,installment,monthly_inc,PaymentToIncome,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc
0,60,3,10,2,576.27,5943.0,0.09696617869762746,14.79,1,1,13,0,18651,0.755,23
1,36,3,7,1,322.25,6500.0,0.049576923076923074,15.42,1,0,12,0,8561,0.525,43
1,60,4,0,2,265.83,4100.0,0.06483658536585366,9.71,0,0,3,0,10478,0.927,6
1,60,3,10,1,276.06,5326.599999999999,0.051826681184996067,8.43,0,0,9,0,20534,0.775,16
1,36,3,10,1,38.93,5083.333333333333,0.007658360655737705,7.91,0,0,4,0,142,0.053,11
0,36,2,0,1,154.06,2333.0,0.06603514787826832,7.67,0,2,8,0,6246,0.5479999999999999,14
1,60,2,6,2,403.6,2916.6666666666665,0.13837714285714287,18.1,1,2,10,0,16539,0.522,16
1,60,3,3,2,287.19,5366.666666666667,0.05351366459627329,16.96,0,3,23,0,13769,0.16699999999999998,39
1,36,4,0,1,76.09,2750.0,0.02766909090909091,15.56,0,0,6,0,5739,0.09300000000000001,9
1,60,3,6,3,340.81,5416.666666666667,0.06291876923076922,10.06,0,1,8,0,6185,0.129,21
0,36,4,0,1,110.64,3400.0,0.03254117647058823,8.56,0,0,4,0,194,0.028999999999999998,14
1,60,3,10,2,593.57,5416.666666666667,0.10958215384615384,1.95,0,2,24,0,5209,0.11599999999999999,42
1,36,3,6,1,134.18,5000.0,0.026836000000000002,4.96,0,1,8,0,5792,0.536,16
1,60,2,0,2,370.94,6000.0,0.061823333333333334,20.5,0,0,12,0,10891,0.369,30
1,60,3,10,2,796.18,10000.0,0.079618,5.13,0,1,9,0,2645,0.051,22
1,36,3,0,2,68.84,2628.6666666666665,0.02618818158762364,11.53,0,0,6,0,8064,0.903,16
1,36,2,0,3,385.14,10250.0,0.03757463414634146,8.52,0,1,8,0,14732,0.26,15
0,36,2,5,2,871.16,12584.673333333332,0.06922388662187497,23.85,0,3,17,0,40741,0.503,42
1,36,2,9,1,482.51,6083.333333333333,0.07931671232876712,12.13,0,0,7,1,5879,0.708,32
1,36,2,7,1,411.41,6250.0,0.0658256,17.56,0,0,7,0,17233,0.912,12
1,36,2,0,1,156.48,2100.0,0.07451428571428571,8.38,0,2,14,0,1037,0.11199999999999999,17
1,60,3,6,2,759.85,6667.0,0.1139718014099295,16.26,0,0,17,0,40128,0.938,44
1,36,2,5,1,244.79,2500.0,0.097916,21.64,2,3,19,0,14024,0.287,38
